Org Name,Org ID,Mar 31 – 6,Apr 7 – 13,Apr 14 – 20,Apr 21 – 27,Apr 28 – 4,May 5 – 11,May 12 – 18,May 19 – 25,May 26 – 1,Jun 2 – 8,Jun 9 – 15,Jun 16 – 22,Jun 23 – 29,Jun 30 – 6,Jul 7 – 13,Jul 14 – 20,Jul 21 – 27,Jul 28 – 3,Aug 4 – 10,Aug 11 – 17,Aug 18 – 24,Aug 25 – 31,Sep 1 – 7,Sep 8 – 14,Sep 15 – 21
Chelsea Garden Skilled Nursing & Rehab,afebb14c-5d1b-43d0-b2a9-a13ca3ac43cc,,,,,,,,,,,,,,,,,43.30%,16.30%,12.20%,20.90%,68.70%,76.50%,84.60%,60.60%,78.30%
Copperas Cove LTC Partners Inc.,bfa52474-674d-4ec7-94c3-6066e470a5f8,,,,,26.70%,47.40%,65.00%,13.20%,14.00%,42.90%,57.10%,81.00%,0.00%,41.40%,28.40%,64.50%,68.60%,58.80%,78.30%,72.80%,85.40%,82.70%,83.30%,78.10%,81.70%
Corrigan Care and Rehab Center,136adb76-b9b9-44f4-bd29-a495db672340,,,,,,,,,,,,,,,,,64.70%,78.30%,80.90%,68.30%,84.90%,90.90%,76.30%,79.10%,76.50%
Creekside Village Healthcare,e04a760a-f122-4843-8864-b417ab772824,65.00%,68.00%,64.40%,60.60%,71.50%,64.40%,75.50%,27.30%,14.70%,12.80%,27.80%,33.30%,0.00%,47.10%,49.10%,44.80%,55.30%,74.30%,73.20%,70.10%,81.30%,75.70%,71.70%,78.10%,72.00%
Dayton Nursing and Rehabilitation,d871495d-2606-41b9-ba6d-1037aac902ff,,,,,82.60%,61.10%,82.00%,78.60%,74.30%,73.70%,54.70%,53.30%,0.00%,64.40%,63.00%,75.80%,51.60%,64.50%,61.30%,62.60%,,,,,66.30%
Ennis Care Center,bc678104-a98f-495a-a624-0854ed922f0e,,,,,,,,,,,32.70%,44.60%,0.00%,79.00%,83.20%,89.20%,65.30%,75.90%,45.70%,9.90%,8.80%,18.60%,19.40%,18.20%,16.20%
Golden Acres,fd20c886-ebb4-48ee-93f8-8f154c35a78f,,,,,,,,,,,,,,,,,59.10%,67.20%,43.40%,46.70%,70.00%,70.50%,70.30%,70.60%,70.30%
Groesbeck LTC Nursing & Rehab,129e9aa7-8674-4799-854c-f943fb882c23,0.00%,0.00%,73.80%,63.50%,67.20%,54.50%,51.00%,57.80%,68.50%,43.60%,52.40%,66.80%,0.00%,57.80%,68.00%,72.20%,73.80%,73.10%,37.90%,42.10%,74.80%,78.30%,51.50%,70.60%,39.20%
Heritage Trails Nursing and Rehab Center,5d53d8c0-fc0e-47fe-80fa-47c600315b5a,,,,,,,,,,,0.00%,79.10%,0.00%,76.10%,84.60%,77.70%,54.30%,60.20%,24.30%,15.40%,11.60%,16.70%,17.10%,16.50%,14.50%
The Medical Resort at Bay Area,806434a3-37f9-4c69-be13-73c6686a566a,,,,,4.60%,24.20%,33.00%,48.00%,25.30%,30.70%,23.40%,29.20%,0.00%,73.90%,66.10%,39.10%,18.60%,36.60%,57.80%,41.40%,61.00%,20.70%,37.30%,59.50%,28.80%
Mexia LTC Nursing and Rehab - SNF,c02b0db1-ee27-4499-b562-64bdb9d02dac,0.00%,53.40%,52.60%,62.50%,61.80%,50.00%,70.00%,47.70%,60.30%,45.60%,39.40%,65.00%,0.00%,42.20%,54.10%,65.40%,78.10%,76.70%,61.70%,62.90%,86.30%,88.10%,65.60%,78.50%,46.80%
Oak Village Healthcare,fff09630-0963-4ad1-8213-b737476e27b4,79.10%,80.30%,65.60%,67.40%,76.20%,69.50%,78.90%,68.50%,67.10%,63.40%,49.10%,77.40%,0.00%,63.90%,77.80%,82.30%,84.80%,67.40%,57.20%,33.00%,44.90%,52.70%,65.60%,58.50%,68.10%
Oasis at Pearland,743f0314-7bd1-4146-8f6e-64e58af58e7f,,,,,,,,,,,,,,0.00%,0.00%,10.90%,71.80%,85.30%,83.60%,70.30%,83.90%,82.70%,80.20%,77.90%,74.40%
Panola County Nursing,95904eb7-239a-413d-89b6-dad70564b009,,,,,,,,,,,,,,,,,,40.00%,40.70%,31.40%,77.90%,75.00%,80.90%,71.10%,52.80%
Quality Living,8c0e351f-c271-4f55-b8c3-4f2aa0897e49,,27.80%,42.60%,40.50%,46.40%,40.50%,62.50%,59.50%,65.50%,56.00%,42.90%,35.70%,0.00%,34.50%,47.60%,34.50%,21.40%,21.40%,28.60%,27.40%,31.00%,28.10%,25.50%,17.60%,0.00%
Regency Village LTC,7f5df045-ffe9-4b0f-8c14-06ee66ddcdc5,68.00%,72.90%,71.30%,70.30%,71.90%,64.70%,72.50%,72.50%,73.30%,64.40%,19.30%,0.00%,0.00%,88.30%,84.40%,84.90%,88.70%,86.00%,87.90%,61.80%,74.90%,76.40%,73.10%,63.70%,61.50%
Teague Nursing & Rehab,5574be35-14de-415f-adc4-f70bf19fd76f,76.30%,67.20%,69.30%,66.10%,57.90%,55.00%,83.60%,87.50%,88.70%,64.90%,51.50%,67.30%,0.00%,58.00%,72.80%,67.90%,79.60%,77.80%,52.50%,65.90%,79.90%,82.60%,56.50%,78.40%,59.60%
Tuscany Village,64f6b20f-a735-4f52-b6dc-c2d88eae3786,,,,,,,,,,,,,,0.00%,82.90%,46.60%,66.20%,88.00%,67.20%,66.70%,72.10%,63.50%,83.20%,77.30%,70.60%
Vibrant Assisted Living,29c7a5af-33d8-4485-89c6-8f88eb1acab3,50.30%,53.30%,51.70%,53.30%,51.10%,37.80%,43.30%,40.20%,42.50%,43.10%,39.10%,52.90%,0.00%,52.90%,47.10%,42.80%,41.10%,,,,,,,,15.10%
"Wells LTC Partners, Inc.",efb7694f-0447-44f7-93f5-55e42feeed2b,,,,,,,,,,,,,,0.00%,55.00%,42.90%,38.80%,65.20%,46.20%,38.70%,38.70%,43.90%,35.70%,45.50%,46.90%
